COUNTRY,SEX,YEAR,life_expectancy,average_number_of_calories_available_per_person_per_day,unemployment_rate,regular_daily_smokers,adult_overweight,alcahol_consumption_liter_per_capita,fat_available_ppd,protein_ppd,average_fruit_vegtable_ppd
Slovenia,ALL,2010.0,79.96,3118.0,7.9,19.9,42.68,9.16,125.42,88.94,14070.0
Slovenia,ALL,2011.0,80.24,3190.0,6.6,19.2,43.1,10.38,129.9,89.84,17760.0
Slovenia,ALL,2012.0,80.39,3144.0,5.7,18.6,43.52,9.41,128.19,89.31,22130.0
Slovenia,ALL,2013.0,80.56,3258.0,5.4,18.8,43.95,9.53,132.75,92.76,23050.0
Slovenia,ALL,2014.0,81.34,3280.0,5.3,19.1,44.32,9.47,134.07,93.28,24370.0
Slovenia,ALL,2015.0,80.98,3278.0,5.1,33.0,44.66,8.49,133.1,95.12,25540.0
Slovenia,ALL,2016.0,81.33,3273.0,6.2,28.0,45.03,8.33,134.06,94.29,28700.0
Slovenia,ALL,2017.0,81.29,3337.0,6.4,23.9,45.37,8.68,136.0,94.84,28570.0
Slovenia,ALL,2018.0,81.47,3378.0,4.8,23.1,45.72,8.93,139.74,96.91,30360.0
Slovenia,ALL,2019.0,81.83,3391.0,3.9,32.0,44.71,9.56,139.47,98.31,32560.0
Slovenia,ALL,2020.0,80.67,3423.0,3.4,30.0,44.75,10.16,141.15,98.75,34770.0
Sweden,ALL,2000.0,79.92,3406.0,1.9,25.4,44.78,11.68,136.1,98.96,35150.0
Sweden,ALL,2001.0,80.01,3382.0,3.6,20.0,44.88,10.62,134.88,99.74,33460.0
Sweden,ALL,2002.0,80.09,3404.0,6.0,20.0,45.03,13.03,134.77,100.26,33060.0
Sweden,ALL,2003.0,80.37,3403.0,7.6,23.2,45.21,11.41,137.78,98.88,32580.0
Sweden,ALL,2004.0,80.54,3261.0,6.0,30.0,45.45,11.48,140.54,96.66,31410.0
Sweden,ALL,2005.0,80.82,3323.0,5.8,24.8,45.71,11.58,141.0,94.61,30850.0
Sweden,ALL,2006.0,81.05,3392.0,5.0,28.4,46.04,12.03,146.1,93.57,34750.0
Sweden,ALL,2007.0,81.19,3202.0,4.5,28.3,46.42,10.81,137.83,89.78,42640.0
Sweden,ALL,2008.0,81.35,3213.0,4.1,32.0,46.84,11.33,137.86,91.94,49610.0
Sweden,ALL,2009.0,81.6,3249.0,4.3,28.25,47.29,10.71,138.16,91.89,53540.0
Sweden,ALL,2010.0,81.76,3297.0,3.8,27.0,47.78,10.58,144.44,94.2,55740.0
Sweden,ALL,2011.0,81.99,3176.0,3.7,24.5,48.32,9.07,143.17,89.63,60390.0
Sweden,ALL,2012.0,81.9,3285.0,4.6,26.5,48.87,9.63,143.58,94.41,60090.0
Sweden,ALL,2013.0,82.11,3279.0,3.7,24.2,49.43,9.59,140.71,93.85,61220.0
Sweden,ALL,2014.0,82.44,3336.0,1.1,21.8,50.01,9.59,142.8,94.46,61990.0
Sweden,ALL,2015.0,82.23,3363.0,1.9,20.5,50.56,9.59,137.13,97.86,61650.0
Sweden,ALL,2016.0,82.51,3427.0,2.8,20.2,51.13,9.59,139.04,99.0,63200.0
Sweden,ALL,2017.0,82.58,3390.0,4.1,17.3,51.68,9.59,139.19,97.95,63670.0
Sweden,ALL,2018.0,82.71,3411.0,6.2,18.4,52.23,9.0,138.58,96.73,60510.0
Sweden,ALL,2019.0,83.22,3450.0,7.9,15.9,52.76,9.12,138.96,96.96,58040.0
Sweden,ALL,2020.0,82.46,3466.0,11.5,33.0,53.29,9.06,140.72,99.18,56690.0
Sweden,ALL,2021.0,83.26,3527.0,14.4,29.0,53.8,9.36,146.0,102.49,61260.0
Sweden,ALL,2022.0,83.24,3517.0,16.2,28.0,54.32,10.18,144.11,101.28,63460.0
