COUNTRY,SEX,YEAR,life_expectancy,average_number_of_calories_available_per_person_per_day,unemployment_rate,regular_daily_smokers,adult_overweight,alcahol_consumption_liter_per_capita,fat_available_ppd,protein_ppd,average_fruit_vegtable_ppd
Czechia,ALL,2001.0,75.49,3193.0,1.91,39.7,48.12,2.91,114.61,89.72,21810.0
Czechia,ALL,2002.0,75.51,3248.0,1.7,29.2,48.11,2.87,118.99,90.36,24520.0
Czechia,ALL,2003.0,75.4,3270.0,2.19,28.2,48.12,2.87,121.53,91.18,24870.0
Czechia,ALL,2004.0,75.96,3220.0,2.22,29.1,48.13,3.0,120.73,89.69,26140.0
Czechia,ALL,2005.0,76.18,3232.0,2.0,37.6,48.13,3.73,120.98,89.06,28190.0
Czechia,ALL,2006.0,76.82,3194.0,2.67,14.3,48.14,4.17,120.99,88.97,30090.0
Czechia,ALL,2007.0,77.1,3221.0,3.67,14.3,48.16,3.99,121.95,89.79,29560.0
Czechia,ALL,2008.0,77.42,3153.0,4.16,14.3,48.17,3.91,122.43,89.23,27970.0
Czechia,ALL,2009.0,77.5,3217.0,3.8,14.3,33.9,3.96,124.69,89.37,27080.0
Czechia,ALL,2010.0,77.81,3230.0,3.6,14.3,34.6,3.97,127.19,90.05,26810.0
Czechia,ALL,2011.0,78.06,3207.0,3.13,14.3,35.2,4.23,129.14,90.65,25320.0
Czechia,ALL,2012.0,78.24,3294.0,3.82,40.7,35.9,4.07,132.34,91.07,25030.0
Czechia,ALL,2013.0,78.4,3201.0,3.56,40.7,36.5,3.89,128.22,89.4,28100.0
Czechia,ALL,2014.0,79.02,3142.0,3.16,40.7,37.1,3.92,128.62,90.55,33850.0
Czechia,ALL,2015.0,78.77,3243.0,3.25,27.5,37.7,4.22,136.75,92.45,38770.0
Czechia,ALL,2016.0,79.25,3192.0,3.46,27.9,38.3,4.04,135.68,91.17,41500.0
Czechia,ALL,2017.0,79.16,3213.0,3.61,26.4,38.9,3.83,137.67,93.14,44540.0
Czechia,ALL,2018.0,79.21,3283.0,4.2,26.6,39.4,3.83,142.14,94.76,49210.0
Czechia,ALL,2019.0,79.45,3355.0,3.54,26.3,39.9,3.69,147.52,94.95,49150.0
Czechia,ALL,2020.0,78.37,3348.0,3.66,26.3,40.4,3.77,149.6,96.98,49750.0
Czechia,ALL,2021.0,77.28,3400.0,4.13,26.9,40.9,8.91,152.16,95.82,50700.0
Germany,ALL,2000.0,78.41,3360.0,4.21,26.3,41.4,9.31,151.81,95.85,50100.0
Germany,ALL,2001.0,78.75,3361.0,4.22,26.6,41.9,9.7,151.61,95.98,50720.0
Germany,ALL,2002.0,78.75,3374.0,3.72,27.3,38.38,9.8,154.35,96.06,50390.0
Germany,ALL,2003.0,78.72,3429.0,3.51,27.4,38.9,10.7,154.91,97.74,47480.0
Germany,ALL,2004.0,79.36,3420.0,3.57,28.2,39.45,11.6,154.49,98.73,46240.0
Germany,ALL,2005.0,79.54,3422.0,3.99,28.0,40.02,12.4,150.73,97.91,45040.0
Germany,ALL,2006.0,79.99,3478.0,4.28,27.5,40.59,13.1,155.64,100.62,49010.0
Germany,ALL,2007.0,80.21,3510.0,5.5,27.5,41.15,13.2,156.24,102.46,51010.0
Germany,ALL,2008.0,80.29,3556.0,5.6,27.0,41.72,13.0,159.23,103.15,48360.0
Germany,ALL,2009.0,80.41,3546.0,5.3,26.7,42.29,13.4,161.42,103.95,52210.0
Germany,ALL,2010.0,80.63,3508.0,4.9,27.0,42.86,13.6,159.35,102.52,110.0
Germany,ALL,2011.0,80.95,3557.0,4.1,25.9,43.44,14.2,158.71,104.88,80.0
Germany,ALL,2012.0,81.08,3510.0,5.3,25.1,44.02,14.6,152.79,100.54,180.0
Germany,ALL,2013.0,80.71,3551.0,4.8,24.4,44.6,14.5,155.92,103.21,240.0
Germany,ALL,2014.0,81.26,3494.0,4.6,24.0,45.18,14.1,156.7,100.08,410.0
Germany,ALL,2015.0,80.85,3608.0,4.9,23.2,45.76,14.3,156.33,103.98,510.0
Germany,ALL,2016.0,81.17,3673.0,5.4,23.9,46.34,14.2,157.23,105.49,600.0
Germany,ALL,2017.0,81.2,3726.0,5.6,23.8,46.91,14.0,159.02,106.03,630.0
Germany,ALL,2019.0,81.46,3728.0,5.7,23.3,47.48,13.4,160.66,106.89,680.0
Germany,ALL,2020.0,81.24,3652.0,6.0,21.7,48.05,13.6,154.28,106.05,740.0
Denmark,ALL,2000.0,77.21,3609.0,5.5,23.0,48.61,13.5,151.28,102.09,840.0
Denmark,ALL,2001.0,77.3,3606.0,4.9,28.2,49.16,13.5,155.6,100.49,960.0
Denmark,ALL,2002.0,77.27,3640.0,4.5,30.0,49.7,14.0,152.26,102.69,1290.0
